company_name,job_title,core_requirements,deadline
Aquark Technologies,Project Title 1: Intuitive Interfaces for Quantum Technology,"[""Strong software development experience in Python"", ""Ability to work independently"", ""Interest in quantum technology"", ""Understanding of Graphical User Interface (GUI) design"", ""Ability to design intuitive navigation for non-expert users""]",2026-03-31
Aquark Technologies,Intuitive Interfaces for Quantum Technology,"[""Strong software development experience"", ""Python proficiency preferred"", ""Ability to work independently"", ""An interest in quantum technology""]",2026-03-31
Aquark Technologies,Integrated Photonics for Quantum Technologies,"[""Confident in performing and analysing experiments"", ""Understanding of the physics of waveguides, fibres, or photonics"", ""Eager and enthusiastic to learn"", ""Python coding experience preferred""]",2026-03-31
BEAT (Better Environment And Transport),ZEEFLEET – Further Research and Development into AI and Optimisation Techniques for the Transport Sector,"[""Data visualisation skills"", ""Simulation experience"", ""Machine Learning knowledge"", ""Optimisation techniques"", ""Programming experience"", ""Interest in AI techniques for data analysis"", ""Ability to work independently""]",2026-03-31
CQER-IQ,From Coupled Oscillators to Quantum Entanglement in Bose–Einstein Condensates,"[""2nd or 3rd year physics student"", ""Competence in Python programming"", ""Solid grounding in quantum mechanics"", ""Familiarity with numerical methods like NumPy and SciPy"", ""Interest in quantum foundations, gravity, or condensed matter""]",2026-03-31
CQER-IQ,From Brownian Motion to Diffusion Processes,"[""2nd or 3rd year physics or maths student"", ""Competence in Python or equivalent computational tools"", ""Grounding in classical mechanics and statistical physics"", ""Interest in energy, materials science, or applied mathematics""]",2026-03-31
Diamond Light Source,AI-Assisted Data Fusion and Segmentation for Full-Field Fluorescence Tomography on the I12 Beamline,"[""Basic understanding of synchrotron radiation"", ""Python programming skills"", ""Interest in imaging, AI, or computational physics"", ""Familiarity with AI tools like PyTorch and U-Net"", ""Ability to participate in beamline operations""]",2026-03-31
The Ditchley Foundation,Bridging Divides with Graph Networks,"[""Competent quantitative skills"", ""Coding ability in Python or R"", ""Experience with statistical software like SPSS"", ""Curious mind"", ""Interest in data science applications outside academia""]",2026-03-31
Drumgrange,Development of Acoustic Transmission Model,"[""Undergraduate or Masters student in STEM subject"", ""Strong analytical approach and problem-solving skills"", ""Interest in Applied Physics and Mathematical Modelling"", ""Solid experience in Python programming"", ""UK National or Citizen with 3 years residency""]",2026-03-31
Drumgrange,Transient Acoustic Analysis and Prediction Internship,"[""Strong background in data analysis"", ""Experience in acoustics or signal processing"", ""Knowledge of artificial intelligence or machine learning"", ""Solid experience in Python programming"", ""UK National or Citizen with 3 years residency""]",2026-03-31
Earth-i,Future Analytics for Nature through Observation and Modelling (FANTOM),"[""Interest in satellite Earth Observation"", ""Interest in AI techniques like computer vision and machine learning"", ""Basic experience with Python, NumPy, and Pandas"", ""Understanding of GIS tools like QGIS or ArcGIS"", ""Familiarity with EO data formats like Sentinel or Landsat""]",2026-03-31
Fat Fish Digital,"Development, Data, AI Summer Placement","[""Passion for AI, data, and problem-solving"", ""Strong analytical skills"", ""Willingness to learn new technologies"", ""Ability to work independently"", ""Programming experience""]",2026-03-31
Framestore,Summer Internship,"[""Entering final year of qualification"", ""UK citizen or valid residency/student visa"", ""Clear communication skills and collaborative mindset"", ""Good time management and ability to meet deadlines"", ""Ability to respond positively to feedback""]",2026-03-31
Indra Space,Investigation of Satellite Manoeuvre Detection and Pattern of Life Methods for Space Situational Awareness,"[""Interest in Orbital Mechanics"", ""Good research skills and critical thinking"", ""Interest in State Estimation Filters"", ""Interest in Time Series Machine Learning""]",2026-03-31
